name,lat,lon
京浜島緑道公園,35.568481,139.765208
平山城址公園,139.380848,35.647956
狭山・境緑道,35.852839,139.412183
青海北ふ頭公園,35.618915,139.773785
大神山公園,142.191557,27.093979
旧岩崎邸庭園,35.70976,139.767205
舎人公園,35.797451,139.772165
東京港野鳥公園,35.583094,139.758329
青山公園,35.668524,139.720671
夢の島公園,35.651124,139.82782
浅間山公園,35.680157,139.500427
有明テニスの森公園,35.635649,139.787027
砧公園,35.630429,139.620212
六義園,35.732759,139.747707
東京都美術館,35.717521,139.773155
東綾瀬公園,35.770235,139.832565
みなとが丘ふ頭公園,35.596471,139.762922
多摩丘陵自然公園,35.659984,139.41034
武蔵野公園,35.687906,139.520496
篠崎公園,35.715629,139.899176
青海中央ふ頭公園,35.620754,139.780239
小山内裏公園,35.606146,139.368198
小石川後楽園,35.704864,139.747649
東京都江戸東京博物館,35.696597,139.795734
長沼公園,35.638301,139.368525
品川北ふ頭公園,35.628471,139.73876
上野恩賜公園,35.715336,139.773982
林試の森公園,35.624931,139.703329
石神井公園,139.604122,35.743429
辰巳の森緑道公園,35.64575,139.814328
駒沢オリンピック公園,35.627198,139.661894
トーキョーアーツアンドスペースレジデンシー,35.69209,139.802025
東大和公園,35.756214,139.430354
京浜運河緑道公園,35.596784,139.748901
高尾陣場自然公園,35.625024,139.243244
水元公園,35.787198,139.869841
汐入公園,35.736607,139.809271
暁ふ頭公園,35.623766,139.769915
大戸緑地,35.617521,139.289337
旧古河庭園,35.743102,139.746698
東京都立多摩図書館,35.698081,139.469872
中川公園,35.774755,139.845443
若洲海浜公園,35.621656,139.834664
秋留台公園,35.729273,139.300293
代々木公園,35.671736,139.694945
善福寺公園,35.713434,139.591542
葛西海浜公園,35.640708,139.855249
小石川後楽園,35.704864,139.747649
東京芸術劇場,35.729842,139.708075
東伏見公園,35.728728,139.557041
京浜島つばさ公園,35.571013,139.770478
羽村草花丘陵自然公園,35.743495,139.311082
武蔵野の森公園,35.676093,139.522366
石神井公園,35.738171,139.595976
有明西ふ頭公園,35.627139,139.794619
葛西臨海公園,35.642245,139.860296
浜離宮恩賜庭園,35.659737,139.763493
東京都写真美術館,35.641641,139.713289
野山北・六道山公園,35.765884,139.379757
城南島ふ頭公園,35.578915,139.772772
浮間公園,35.794827,139.692878
六仙公園,35.750302,139.522698
玉川上水緑道,35.671987,139.664898
新木場緑道公園,35.640426,139.840441
桜ヶ丘公園,141.349451,42.562611
シンボルプロムナード公園,35.623908,139.77443
光が丘公園,35.765204,139.629503
東海緑道公園,35.577185,139.759561
明治の森高尾国定公園,35.631366,139.26758
府中の森公園,35.676369,139.491872
猿江恩賜公園,35.69051,139.819226
青海南ふ頭公園,35.615663,139.776117
大島小松川公園,35.692509,139.846806
旧芝離宮恩賜庭園,35.655799,139.758046
東京都立中央図書館,35.652096,139.726341
富山公園,35.707707,139.705066
大井ふ頭中央海浜公園,35.594776,139.753229
赤塚公園,35.785076,139.656438
横網町公園,35.699188,139.796883
善福寺川緑地,35.690675,139.632405
春海橋公園,35.653477,139.792089
木場公園,35.676767,139.807561
東京文化会館,35.714415,139.775299
東白鬚公園,35.733687,139.814077
東海ふ頭公園,35.57775,139.756327
狭山自然公園,35.763198,139.441582
武蔵野中央公園,35.718669,139.55854
芝公園,35.654938,139.747984
水の広場公園,35.625052,139.782704
小山田緑地,35.596194,139.416319
殿ヶ谷戸庭園,35.69872,139.481937
江戸東京たてもの園,35.715437,139.51254
野川公園,35.68334,139.525446
コンテナふ頭公園,35.596416,139.762908
宇喜田公園,35.674423,139.860592
蘆花恒春園,35.661969,139.61091
滝山公園,35.701454,139.330101
夢の島緑道公園,35.647501,139.830315
小宮公園,35.673446,139.340673
お台場海浜公園,35.630845,139.776087
